fechas,idHoras,EC_Abrera,EC_suriaDesf,QBaells_Desf,QBalsanery_Desf,QBerga_Desf,QCardona_Desf,QSuria_Desf,Prep_Desf
42891.0000,59076,1409.9800,6387.2900,5.6260,5.7330,6.0400,3.5740,1.9670,0.0000
42891.1667,59080,1418.1000,6135.0200,5.6200,5.6790,6.0350,3.5690,1.8610,0.0000
42891.2083,59081,1404.3500,6102.2400,5.6210,5.6370,6.0270,3.5690,1.8640,0.0000
42891.2500,59082,1390.9700,6114.7200,5.6220,5.7130,5.9680,3.4950,1.8650,0.0000
42891.2917,59083,1382.6000,6102.8500,5.6210,5.7200,5.9220,3.5700,1.8330,0.8000
42891.3333,59084,1369.6000,6036.3600,5.6180,5.7000,5.9530,3.0390,1.8220,0.0000
42891.5000,59088,1394.6000,5745.6900,5.6290,5.7130,6.2850,3.5670,1.6470,0.0000
42891.5417,59089,1413.6200,5697.5500,5.6320,5.7270,6.1500,3.5660,1.8160,1.4000
42891.5833,59090,1438.0000,5649.6000,5.6290,5.7260,6.0550,3.5660,1.8780,1.3000
42891.6250,59091,1450.0000,5610.7000,5.6330,5.6290,6.1310,3.5670,1.8790,0.7000
42891.6667,59092,1453.1400,5566.1500,5.6330,5.6270,6.0380,3.5120,1.8790,0.0000
42891.8333,59096,1435.0000,5369.6500,5.6280,5.6700,6.1390,3.4910,1.8320,0.0000
42891.8750,59097,1420.9200,5163.1900,5.6290,5.7300,6.0460,3.4900,1.8220,0.0000
42891.9167,59098,1405.6000,5171.3600,5.6280,5.6910,6.0870,3.4910,1.8190,0.0000
42891.9583,59099,1396.8500,5179.1200,5.6320,5.7270,6.0660,3.4930,1.8200,0.0000
42892.0000,59100,1387.1200,5061.4000,5.6320,5.6780,6.0050,3.5370,1.7980,0.0000
42892.0417,59101,1375.4500,5038.3800,5.6260,5.6320,6.0180,3.5650,1.7930,0.0000
42892.0833,59102,1369.3300,4958.7900,5.6180,5.6840,5.9870,3.5630,1.7840,0.0000
