QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
16,5,14,9,13,6,811.14,782.97,788.94,781.39,785.51,810.99,782.52,788.64,779.29,785.31,810.89,782.47,788.29,781.09,787.91
16,5,14,9,13,6,811.14,782.97,788.54,781.49,785.51,811.19,782.97,789.04,781.39,785.61,810.99,782.47,788.54,781.29,785.41
16,5,14,9,13,6,811.19,783.07,788.44,781.34,785.41,811.19,782.97,789.04,781.39,785.61,810.99,782.52,788.64,781.29,785.31
16,5,14,9,13,6,811.19,783.07,788.44,781.34,785.41,811.14,782.97,788.94,781.39,785.51,810.99,782.52,788.64,781.29,785.31
16,5,14,9,13,4,811.19,782.77,788.04,781.29,787.01,811.14,782.97,788.54,781.49,785.51,810.99,782.52,788.64,779.29,785.31
16,5,14,9,13,4,811.19,782.77,788.04,781.29,787.01,811.19,783.07,788.44,781.34,785.41,811.19,782.97,789.04,781.39,785.61
16,5,16,9,13,6,811.19,782.72,787.94,781.29,785.21,811.19,783.07,788.44,781.34,785.41,811.19,782.97,789.04,781.39,785.61
16,5,16,9,13,6,811.19,782.77,787.94,781.24,785.11,811.19,782.77,788.04,781.29,787.01,811.14,782.97,788.94,781.39,785.51
16,5,16,9,13,6,811.29,782.77,787.84,781.24,785.01,811.19,782.77,788.04,781.29,787.01,811.14,782.97,788.54,781.49,785.51
16,5,16,9,13,6,811.29,782.57,787.74,781.24,784.96,811.19,782.72,787.94,781.29,785.21,811.19,783.07,788.44,781.34,785.41
16,5,16,9,13,4,811.29,782.57,787.74,781.24,784.96,811.19,782.77,787.94,781.24,785.11,811.19,783.07,788.44,781.34,785.41
16,5,16,9,13,4,812.09,782.37,787.44,780.99,787.41,811.29,782.77,787.84,781.24,785.01,811.19,782.77,788.04,781.29,787.01
16,5,16,9,13,4,812.09,782.37,787.44,780.99,787.41,811.29,782.57,787.74,781.24,784.96,811.19,782.77,788.04,781.29,787.01
16,5,16,9,13,4,811.99,782.37,787.34,780.49,787.41,811.29,782.57,787.74,781.24,784.96,811.19,782.72,787.94,781.29,785.21
16,5,16,9,13,4,811.99,782.32,787.34,780.89,787.51,812.09,782.37,787.44,780.99,787.41,811.19,782.77,787.94,781.24,785.11
16,5,16,9,13,6,811.89,782.32,787.34,780.79,784.71,812.09,782.37,787.44,780.99,787.41,811.29,782.77,787.84,781.24,785.01
16,5,16,9,13,6,811.84,782.27,787.34,780.74,784.61,811.99,782.37,787.34,780.49,787.41,811.29,782.57,787.74,781.24,784.96
16,5,16,9,13,6,811.84,782.27,787.34,780.74,784.61,811.99,782.32,787.34,780.89,787.51,811.29,782.57,787.74,781.24,784.96
16,5,16,9,13,6,811.84,782.27,787.34,780.74,784.61,811.89,782.32,787.34,780.79,784.71,812.09,782.37,787.44,780.99,787.41
